SYNLOX,COMPETENCIA,MARCA,CONDICION_ESPECIAL,TIPO_LUBRICANTE,FICHA_TECNICA_URL
SYNLOX XTREME EP (SULFONATO DE CALCIO)(GRADO 00),MOBIL CENTAUR XHP 220 (SULFONATO DE CALCIO) (GRADO 00),EXXONMOBIL,,Grasa,
SYNLOX XTREME EP (SULFONATO DE CALCIO)(GRADO 1),MOBIL CENTAUR XHP 220 (SULFONATO DE CALCIO) (GRADO 1),EXXONMOBIL,,Grasa,
SYNLOX XTREME EP (SULFONATO DE CALCIO)(GRADO 2),MOBIL CENTAUR XHP 220 (SULFONATO DE CALCIO) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 00),MOBILGREASE XHP 222 (COMPLEJO DE LITIO) (GRADO 00),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP  (COMPLEJO DE LITIO)(GRADO 0),MOBILGREASE XHP 222 (COMPLEJO DE LITIO) (GRADO 0),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 1),MOBILGREASE XHP 222 (COMPLEJO DE LITIO) (GRADO 1),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP(COMPLEJO DE LITIO)(GRADO 2),MOBILGREASE XHP 222 (COMPLEJO DE LITIO) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 3),MOBILGREASE XHP 222 (COMPLEJO DE LITIO) (GRADO 3),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 0),MOBILUX EP (LITIO) (GRADO 0),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 1),MOBILUX EP (LITIO) (GRADO 1),EXXONMOBIL,,Grasa,
SYNLOXLITHPLEX EP (COMPLEJO DE LITIO)(GRADO 2),MOBILUX EP (LITIO) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 2),MOBILITH SHC 220 (COMPLEJO DE LITIO)(GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 1),MOBILGREASE XHP SPECIAL (COMPLEJO DE LITIO) (GRADO 1),EXXONMOBIL,,Grasa,
SYNLOX LITHPLEX EP (COMPLEJO DE LITIO)(GRADO 2),MOBILGREASE XHP SPECIAL (COMPLEJO DE LITIO) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX BENTOPLEX SYN (BENTONITA)(MOLY)(SINTÉTICO) (GRADO 1),MOBILTEMP SHC™ SERIES (ARCILLA INORGANICA) (GRADO 1),EXXONMOBIL,,Grasa,
SYNLOX BENTOPLEX SYN (BENTONITA)(MOLY)(SINTÉTICO) (GRADO 2),MOBILTEMP SHC™ SERIES (ARCILLA INORGANICA) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX SANPLEX AL(COMPLEJO DE ALUMINIO)(GRADO 1),MOBILGREASE FM 222 (COMPLEJO E ALUMINIO) (GRADO 1),EXXONMOBIL,,Grasa,
SYNLOX SANPLEX AL(COMPLEJO DE ALUMINIO)(GRADO 2),MOBILGREASE FM 222 (COMPLEJO E ALUMINIO) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX MOLY XTREME EP (SULFONATO DE CALCIO) (MOLY) (GRADO 1),MOBIL CENTAUR MOLY (SULFONATO DE CALCIO) (MOLY) (GRADO 1),EXXONMOBIL,,Grasa,
SYNLOX MOLY XTREME EP (SULFONATO DE CALCIO) (MOLY) (GRADO 2),MOBIL CENTAUR MOLY (SULFONATO DE CALCIO) (MOLY) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX BENTOPLEX SYN (BENTONITA)(MOLY)(SINTÉTICO) (GRADO 2),MOBILGREASE 28(ARCILLA) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX BENTOPLEX (BENTONITA)(MOLY) (GRADO 1),MOBILTEMP SHC™ SERIES (ARCILLA INORGANICA) (GRADO 1),EXXONMOBIL,,Grasa,
SYNLOX BENTOPLEX (BENTONITA)(MOLY) (GRADO 2),MOBILTEMP SHC™ SERIES (ARCILLA INORGANICA) (GRADO 2),EXXONMOBIL,,Grasa,
SYNLOX POLIUREA EP (POLIUREA) (GRADO 2)(ISO 220),MOBIL SHC™ POLYREX EM (POLIUREA) (GRADO 2),EXXONMOBIL,,Grasa,
